(34816, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=60, velocity=80>)
(36864, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(36864, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=60, velocity=0>)
(36864, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=41, velocity=68>)
(37888, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=69, velocity=81>)
(38912, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=41, velocity=0>)
(38912, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=69, velocity=0>)
(38912, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=73>)
(40960, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(40960, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=41, velocity=68>)
(43008, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=41, velocity=0>)
(43008, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=75>)
(43008, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=55, velocity=70>)
(45056, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(45056, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=55, velocity=0>)
(45056, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=43, velocity=69>)
(45056, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=55, velocity=71>)
(47104, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=43, velocity=0>)
(47104, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=55, velocity=0>)
(47104, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=48, velocity=74>)
(47104, <music21.midi.MidiEvent NOTE_ON, track=2, channel=1, pitch=52, velocity=70>)
(49152, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=48, velocity=0>)
(49152, <music21.midi.MidiEvent NOTE_OFF, track=2, channel=1, pitch=52, velocity=0>)
(50176, <music21.midi.MidiEvent END_OF_TRACK, track=2, channel=None, data=b''>)
