track,start,end,event,channel,note,velocity,name
1,0,1,Note_on,1,59,80,B3
1,1,1,Note_on,1,62,80,D4
1,1,1,Note_on,1,71,80,B4
1,2,2,Note_on,1,69,80,A4
1,2,3,Note_on,1,67,80,G4
1,3,4,Note_on,1,59,80,B3
1,4,4,Note_on,1,62,80,D4
1,4,4,Note_on,1,67,80,G4
1,4,6,Note_on,1,66,80,F#4
1,6,7,Note_on,1,60,80,C4
1,7,7,Note_on,1,62,80,D4
1,7,7,Note_on,1,72,80,C5
1,8,8,Note_on,1,71,80,B4
1,8,9,Note_on,1,69,80,A4
1,9,9,Note_on,1,69,80,A4
1,10,10,Note_on,1,67,80,G4
1,10,10,Note_on,1,64,80,E4
1,10,12,Note_on,1,62,80,D4
1,12,13,Note_on,1,59,80,B3
1,13,13,Note_on,1,62,80,D4
1,13,13,Note_on,1,71,80,B4
1,14,14,Note_on,1,69,80,A4
1,14,15,Note_on,1,67,80,G4
1,15,16,Note_on,1,59,80,B3
1,16,16,Note_on,1,62,80,D4
1,16,16,Note_on,1,67,80,G4
1,16,17,Note_on,1,66,80,F#4
1,18,18,Note_on,1,64,80,E4
1,18,18,Note_on,1,62,80,D4
1,18,19,Note_on,1,67,80,G4
1,19,19,Note_on,1,72,80,C5
1,20,20,Note_on,1,71,80,B4
1,20,21,Note_on,1,67,80,G4
1,21,21,Note_on,1,69,80,A4
1,22,22,Note_on,1,64,80,E4
1,22,22,Note_on,1,66,80,F#4
1,22,24,Note_on,1,67,80,G4
