track,start,end,event,channel,note,velocity,name
1,0,1,Note_on,2,75,108,E-5
1,1,2,Note_on,2,69,100,A4
1,2,3,Note_on,2,75,127,E-5
1,3,3,Note_on,2,75,116,E-5
1,3,3,Note_on,2,69,98,A4
1,3,4,Note_on,2,69,115,A4
1,4,4,Note_on,2,75,109,E-5
1,4,4,Note_on,2,75,97,E-5
1,4,4,Note_on,2,75,94,E-5
1,4,4,Note_on,2,69,84,A4
1,5,5,Note_on,2,75,112,E-5
1,5,5,Note_on,2,75,100,E-5
1,5,5,Note_on,2,75,100,E-5
1,5,5,Note_on,2,69,86,A4
1,5,6,Note_on,2,75,110,E-5
1,6,6,Note_on,2,69,86,A4
1,6,6,Note_on,2,75,109,E-5
1,6,6,Note_on,2,69,83,A4
1,7,7,Note_on,2,75,109,E-5
1,7,7,Note_on,2,74,115,D5
1,7,7,Note_on,2,67,93,G4
1,7,7,Note_on,2,67,60,G4
1,8,8,Note_on,2,70,67,B-4
1,8,8,Note_on,2,67,57,G4
1,8,8,Note_on,2,69,62,A4
1,8,8,Note_on,2,70,75,B-4
1,8,8,Note_on,2,69,59,A4
1,8,8,Note_on,2,70,63,B-4
1,9,9,Note_on,2,67,57,G4
1,9,9,Note_on,2,70,61,B-4
1,9,9,Note_on,2,69,61,A4
1,9,9,Note_on,2,67,58,G4
1,9,9,Note_on,2,67,63,G4
1,9,9,Note_on,2,70,69,B-4
1,9,9,Note_on,2,67,53,G4
1,10,10,Note_on,2,69,61,A4
1,10,10,Note_on,2,70,78,B-4
1,10,10,Note_on,2,69,65,A4
1,10,10,Note_on,2,70,65,B-4
1,10,10,Note_on,2,67,54,G4
1,10,10,Note_on,2,70,69,B-4
1,11,11,Note_on,2,68,59,G#4
1,11,11,Note_on,2,68,52,G#4
1,11,11,Note_on,2,72,67,C5
1,11,11,Note_on,2,68,54,G#4
1,11,11,Note_on,2,70,63,B-4
1,11,12,Note_on,2,72,77,C5
1,12,12,Note_on,2,70,55,B-4
1,12,12,Note_on,2,72,65,C5
1,12,12,Note_on,2,68,48,G#4
1,12,12,Note_on,2,72,68,C5
1,12,12,Note_on,2,70,61,B-4
1,12,13,Note_on,2,68,58,G#4
1,13,13,Note_on,2,68,58,G#4
1,13,13,Note_on,2,72,66,C5
1,13,13,Note_on,2,68,59,G#4
1,13,13,Note_on,2,70,61,B-4
1,13,13,Note_on,2,72,68,C5
1,13,13,Note_on,2,68,53,G#4
1,14,14,Note_on,2,72,67,C5
1,14,14,Note_on,2,70,55,B-4
1,14,14,Note_on,2,68,54,G#4
1,14,14,Note_on,2,67,55,G4
1,21,22,Note_on,2,62,87,D4
1,22,22,Note_on,2,67,109,G4
1,22,23,Note_on,2,67,99,G4
1,23,23,Note_on,2,65,90,F4
1,23,23,Note_on,2,65,96,F4
1,23,24,Note_on,2,64,97,E4
1,24,24,Note_on,2,64,96,E4
1,24,25,Note_on,2,63,96,E-4
1,25,25,Note_on,2,63,94,E-4
1,25,25,Note_on,2,62,99,D4
1,25,26,Note_on,2,64,98,E4
1,26,26,Note_on,2,67,107,G4
1,26,26,Note_on,2,66,93,F#4
1,26,27,Note_on,2,64,97,E4
1,27,27,Note_on,2,62,89,D4
1,27,27,Note_on,2,64,102,E4
1,27,28,Note_on,2,64,98,E4
1,28,28,Note_on,2,66,110,F#4
1,28,29,Note_on,2,62,92,D4
1,29,29,Note_on,2,67,109,G4
1,29,29,Note_on,2,67,103,G4
1,29,30,Note_on,2,65,94,F4
1,30,30,Note_on,2,65,96,F4
1,30,31,Note_on,2,64,96,E4
1,31,31,Note_on,2,64,95,E4
1,31,32,Note_on,2,63,91,E-4
1,32,32,Note_on,2,63,96,E-4
1,32,32,Note_on,2,62,92,D4
1,32,33,Note_on,2,67,109,G4
1,33,33,Note_on,2,70,107,B-4
1,33,33,Note_on,2,69,95,A4
1,33,33,Note_on,2,66,86,F#4
1,33,34,Note_on,2,62,91,D4
1,34,34,Note_on,2,66,106,F#4
1,34,35,Note_on,2,64,90,E4
1,35,35,Note_on,2,62,92,D4
1,38,38,Note_on,2,67,90,G4
1,38,38,Note_on,2,70,105,B-4
1,39,39,Note_on,2,67,90,G4
1,39,39,Note_on,2,69,104,A4
1,39,39,Note_on,2,70,125,B-4
1,39,39,Note_on,2,63,82,E-4
1,39,39,Note_on,2,67,104,G4
1,39,39,Note_on,2,63,89,E-4
1,40,40,Note_on,2,65,98,F4
1,40,40,Note_on,2,67,127,G4
1,40,40,Note_on,2,58,91,B-3
1,40,40,Note_on,2,63,107,E-4
1,40,40,Note_on,2,58,89,B-3
1,40,40,Note_on,2,62,106,D4
1,41,41,Note_on,2,63,127,E-4
1,41,41,Note_on,2,63,99,E-4
1,41,41,Note_on,2,63,96,E-4
1,41,41,Note_on,2,63,97,E-4
1,41,41,Note_on,2,63,99,E-4
1,41,42,Note_on,2,62,97,D4
1,45,45,Note_on,2,67,85,G4
1,45,45,Note_on,2,70,101,B-4
1,45,45,Note_on,2,67,93,G4
1,46,46,Note_on,2,69,102,A4
1,46,46,Note_on,2,70,119,B-4
1,46,46,Note_on,2,63,82,E-4
1,46,46,Note_on,2,67,105,G4
1,46,46,Note_on,2,63,88,E-4
1,46,46,Note_on,2,65,101,F4
1,47,47,Note_on,2,67,124,G4
1,47,47,Note_on,2,58,91,B-3
1,47,47,Note_on,2,63,106,E-4
1,47,47,Note_on,2,58,91,B-3
1,47,47,Note_on,2,62,110,D4
1,47,48,Note_on,2,63,127,E-4
1,48,48,Note_on,2,63,100,E-4
1,48,48,Note_on,2,63,93,E-4
1,48,48,Note_on,2,63,99,E-4
1,48,48,Note_on,2,63,99,E-4
1,48,49,Note_on,2,62,92,D4
1,49,49,Note_on,2,69,127,A4
1,49,49,Note_on,2,69,121,A4
1,49,49,Note_on,2,69,113,A4
1,49,49,Note_on,2,69,108,A4
1,49,49,Note_on,2,74,127,D5
1,49,50,Note_on,2,69,100,A4
1,50,50,Note_on,2,69,113,A4
1,50,50,Note_on,2,69,112,A4
1,50,50,Note_on,2,69,112,A4
1,50,50,Note_on,2,75,127,E-5
1,50,51,Note_on,2,69,102,A4
1,51,51,Note_on,2,75,126,E-5
1,51,51,Note_on,2,69,119,A4
1,51,51,Note_on,2,75,127,E-5
1,51,52,Note_on,2,74,127,D5
1,52,52,Note_on,2,67,117,G4
1,52,52,Note_on,2,67,59,G4
1,52,52,Note_on,2,70,64,B-4
1,52,52,Note_on,2,67,56,G4
1,52,52,Note_on,2,69,66,A4
1,53,53,Note_on,2,70,73,B-4
1,53,53,Note_on,2,69,61,A4
1,53,53,Note_on,2,70,66,B-4
1,53,53,Note_on,2,67,58,G4
1,53,53,Note_on,2,70,63,B-4
1,53,54,Note_on,2,69,57,A4
1,54,54,Note_on,2,67,53,G4
1,54,54,Note_on,2,67,58,G4
1,54,54,Note_on,2,70,65,B-4
1,54,54,Note_on,2,67,55,G4
1,54,54,Note_on,2,69,63,A4
1,54,55,Note_on,2,70,74,B-4
1,55,55,Note_on,2,69,59,A4
1,55,55,Note_on,2,70,65,B-4
1,55,55,Note_on,2,67,62,G4
1,55,55,Note_on,2,70,72,B-4
1,55,55,Note_on,2,68,55,G#4
1,55,55,Note_on,2,68,54,G#4
1,56,56,Note_on,2,72,67,C5
1,56,56,Note_on,2,68,58,G#4
1,56,56,Note_on,2,70,62,B-4
1,56,56,Note_on,2,72,77,C5
1,56,56,Note_on,2,70,58,B-4
1,56,56,Note_on,2,72,61,C5
1,57,57,Note_on,2,68,57,G#4
1,57,57,Note_on,2,72,64,C5
1,57,57,Note_on,2,70,60,B-4
1,57,57,Note_on,2,68,53,G#4
1,57,57,Note_on,2,68,65,G#4
1,57,57,Note_on,2,72,69,C5
1,57,57,Note_on,2,68,55,G#4
1,58,58,Note_on,2,70,65,B-4
1,58,58,Note_on,2,72,62,C5
1,58,58,Note_on,2,68,56,G#4
1,58,58,Note_on,2,72,66,C5
1,58,58,Note_on,2,70,60,B-4
1,58,58,Note_on,2,68,61,G#4
1,59,59,Note_on,2,67,55,G4
1,66,66,Note_on,2,62,88,D4
1,66,67,Note_on,2,67,112,G4
1,67,67,Note_on,2,67,96,G4
1,67,68,Note_on,2,65,93,F4
1,68,68,Note_on,2,65,97,F4
1,68,69,Note_on,2,64,88,E4
1,69,69,Note_on,2,64,99,E4
1,69,69,Note_on,2,63,94,E-4
1,69,70,Note_on,2,63,96,E-4
1,70,70,Note_on,2,62,92,D4
1,70,70,Note_on,2,64,97,E4
1,70,71,Note_on,2,67,107,G4
1,71,71,Note_on,2,66,100,F#4
1,71,71,Note_on,2,64,92,E4
1,71,71,Note_on,2,62,90,D4
1,71,72,Note_on,2,64,101,E4
1,72,72,Note_on,2,64,102,E4
1,72,73,Note_on,2,66,101,F#4
1,73,73,Note_on,2,62,84,D4
1,73,74,Note_on,2,67,110,G4
1,74,74,Note_on,2,67,101,G4
1,74,75,Note_on,2,65,89,F4
1,75,75,Note_on,2,65,94,F4
1,75,75,Note_on,2,64,93,E4
1,75,76,Note_on,2,64,94,E4
1,76,76,Note_on,2,63,94,E-4
1,76,77,Note_on,2,63,100,E-4
1,77,77,Note_on,2,62,92,D4
1,77,77,Note_on,2,67,108,G4
1,77,77,Note_on,2,70,111,B-4
1,77,78,Note_on,2,69,92,A4
1,78,78,Note_on,2,66,88,F#4
1,78,78,Note_on,2,62,88,D4
1,78,79,Note_on,2,66,103,F#4
1,79,79,Note_on,2,64,95,E4
1,79,79,Note_on,2,62,90,D4
1,83,83,Note_on,2,67,91,G4
1,83,83,Note_on,2,70,101,B-4
1,83,83,Note_on,2,67,86,G4
1,83,83,Note_on,2,69,104,A4
1,83,84,Note_on,2,70,124,B-4
1,84,84,Note_on,2,63,81,E-4
1,84,84,Note_on,2,67,101,G4
1,84,84,Note_on,2,63,85,E-4
1,84,84,Note_on,2,65,101,F4
1,84,84,Note_on,2,67,127,G4
1,85,85,Note_on,2,58,84,B-3
1,85,85,Note_on,2,63,107,E-4
1,85,85,Note_on,2,58,95,B-3
1,85,85,Note_on,2,62,108,D4
1,85,85,Note_on,2,63,123,E-4
1,85,85,Note_on,2,63,99,E-4
1,86,86,Note_on,2,63,92,E-4
1,86,86,Note_on,2,63,98,E-4
1,86,86,Note_on,2,63,97,E-4
1,86,86,Note_on,2,62,95,D4
1,90,90,Note_on,2,67,89,G4
1,90,90,Note_on,2,70,106,B-4
